service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
EY:EYAO001:1:001FMP31:O:1,1,0,0,0,1,0,0,20241110,20260703
EY:EYAO001:1:001FMP31:I:1,1,0,0,0,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:1,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:2,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:3,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:4,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:5,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:6,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:7,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:8,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:9,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:10,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002MFS31:O:11,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:1,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:2,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:3,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:4,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:5,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:6,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:7,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:8,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:9,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:10,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SAS31:O:11,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO002:2:002SUS31:O:1,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:2,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:3,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:4,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:5,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:6,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:7,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO002:2:002SUS31:O:8,0,0,0,0,0,0,1,20241110,20260703
EY:EYAO003:3:003MFS46:O:1,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:2,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:3,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:4,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:5,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:6,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:7,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:8,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:9,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:10,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:11,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:12,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:O:13,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:1,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:2,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:3,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:4,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:5,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:6,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:7,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:8,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:9,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:10,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:11,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:12,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003MFS46:I:13,1,1,1,1,1,0,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:1,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:2,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:3,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:4,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:5,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:6,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:7,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:8,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:9,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:10,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:O:11,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:1,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:2,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:3,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:4,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:5,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:6,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:7,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:8,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:9,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:10,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO003:3:003SAS46:I:11,0,0,0,0,0,1,0,20250615,20260703
EY:EYAO004:4:004MFFIL20:O:1,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:2,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:3,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:4,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:5,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:6,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:7,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:8,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:9,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:10,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:O:11,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:1,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:2,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:3,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:4,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:5,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:6,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:7,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:8,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:9,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:10,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004MFFIL20:I:11,1,1,1,1,1,0,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:1,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:2,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:3,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:4,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:5,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:6,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:7,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:8,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:O:9,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:1,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:2,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:3,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:4,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:5,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:6,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:7,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:8,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO004:4:004SAFIL20:I:9,0,0,0,0,0,1,0,20241110,20260703
EY:EYAO005:5:005MFS42:O:1,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:O:2,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:O:3,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:O:4,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:I:1,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:I:2,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:I:3,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005MFS42:I:4,1,1,1,1,1,0,0,20250502,20260703
EY:EYAO005:5:005SAS42:O:1,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:O:2,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:O:3,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:O:4,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:I:1,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:I:2,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:I:3,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO005:5:005SAS42:I:4,0,0,0,0,0,1,0,20250502,20260703
EY:EYAO007:7:007MFS35:O:1,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:2,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:3,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:4,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:5,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:6,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:7,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:8,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:9,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:10,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:11,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:12,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:13,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:14,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:15,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:16,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:17,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:18,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:19,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:20,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:21,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:22,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:23,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:24,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:25,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:26,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:27,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:28,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:29,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:30,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:31,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:32,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:33,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:34,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:35,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:36,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:37,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:38,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007MFS35:O:39,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:1,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:2,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:3,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:4,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:5,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:6,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:7,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:8,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:9,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:10,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:11,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:12,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:13,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:14,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:15,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:16,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:17,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:18,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:19,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:20,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:21,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:22,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:23,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:24,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:25,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:26,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:27,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:28,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:29,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:30,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:31,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:32,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:33,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:34,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:35,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:36,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:37,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:38,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:39,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007A:7A:007MFS35:I:40,1,1,1,1,1,0,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:1,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:2,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:3,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:4,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:5,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:6,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:7,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:8,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:9,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:10,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:11,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:12,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:13,0,0,0,0,0,1,0,20250223,20260703
EY:EYAO007:7:007SAS35:O:14,0,0,0,0,0,1,0,20250223,20260703
