stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3200YNA00718,,"Ardol Clock Tower",,53.788584,-1.050512,,,,,,
3200YNA00719,,"Ardol Clock Tower",,53.788429,-1.050181,,,,,,
3200YNA00756,,"Ashfield House",,53.76683,-0.975875,,,,,,
3200YNA00755,,"Ashfield House",,53.766759,-0.976074,,,,,,
3200YNA00779,,"Back Lane",,53.823556,-0.958252,,,,,,
3200YNA00732,,"Bennymoor Lane",,53.795409,-1.029422,,,,,,
3200YNA00733,,"Bennymoor Lane",,53.795318,-1.029394,,,,,,
3200YNA00716,,"Bocm Offices",,53.788371,-1.055313,,,,,,
3200YNA00717,,"Bocm Offices",,53.788262,-1.05527,,,,,,
2200YEA00044,,"Bubwith (Chip Shop)",,53.818281,-0.914773,,,,,,
2200YEA00045,,"Bubwith (Chip Shop)",,53.818434,-0.916744,,,,,,
2200YEA01582,,"Bubwith Highfield Rd",,53.81816,-0.913333,,,,,,
2200YEA00672,,"Bubwith Vine Gardens",,53.81829,-0.908833,,,,,,
2200YEA00671,,"Bubwith Vine Gardens",,53.818158,-0.908153,,,,,,
2200YEA01581,,"Bubwith White Swan",,53.818834,-0.920212,,,,,,
2200YEA00673,,"Bubwith White Swan",,53.818727,-0.920336,,,,,,
3200YNA00772,,"Cherry Tree Stores",,53.780463,-0.99685,,,,,,
3200YNA00740,,"Cliffe Crossroads",,53.779757,-0.997383,,,,,,
3200YNA00739,,"Cliffe Crossroads",,53.780381,-0.997793,,,,,,
3200YNA00744,,"Cliffe Institute",,53.77707,-0.994185,,,,,,
3200YNA00743,,"Cliffe Institute",,53.776963,-0.994369,,,,,,
3200YNA00763,,"Council Houses",,53.76796,-0.971417,,,,,,
3200YNA00777,,"Derwent Cottage Farm l e",,53.821047,-0.939554,,,,,,
3200YNA00776,,"Derwent Cottage Farm l e",,53.820921,-0.939587,,,,,,
2200YEA01160,,"Foggathorpe Crossroads",,53.829585,-0.853492,,,,,,
2200YEA01159,,"Foggathorpe Crossroads",,53.829374,-0.854956,,,,,,
3200YNA00751,,"Fox And Pheasant",,53.769587,-0.978827,,,,,,
3200YNA00752,,"Fox And Pheasant",,53.769595,-0.97866,,,,,,
2200YEA01158,,"Harlthorpe Hall",,53.827357,-0.880247,,,,,,
2200YEA01157,,"Harlthorpe Hall",,53.827461,-0.87988,,,,,,
3200YNA00759,,"Hemingbrough Chapelfields",,53.765798,-0.968739,,,,,,
3200YNA00760,,"Hemingbrough Chapelfields",,53.765896,-0.968722,,,,,,
3200YNA00753,,"Hemingbrough Chuch",,53.767676,-0.979192,,,,,,
3200YNA00754,,"Hemingbrough Chuch",,53.767683,-0.97901,,,,,,
2200YEA00669,,"Highfield Corner House",,53.819187,-0.900759,,,,,,
2200YEA11973,,"Holme on Spalding Moor",,53.836456,-0.771242,,,,,,
2200YEA00666,,"Holme on Spalding Moor Village Hall",,53.836614,-0.767362,,,,,,
2200YEA00667,,"Holme on Spalding Moor Village Hall",,53.836392,-0.768493,,,,,,
3200YNA00715,,"John Street",,53.786659,-1.061681,,,,,,
3200YNA00782,,"King's Arms",,53.826371,-0.962588,,,,,,
3200YNA00783,,"King's Arms",,53.826501,-0.962995,,,,,,
3200YNA00738,,"Lane End",,53.785804,-1.012356,,,,,,
3200YNA00737,,"Lund Lane End",,53.785892,-1.012111,,,,,,
3200YNA00778,,"Menthorpe Lane",,53.823461,-0.958665,,,,,,
3200YNA00731,,"Methodist Church",,53.796803,-1.034051,,,,,,
3200YNA00747,,Newhay,,53.773454,-0.984347,,,,,,
3200YNA00780,,"North Duffield Post Office",,53.825131,-0.960538,,,,,,
3200YNA00781,,"North Duffield Post Office",,53.825533,-0.960269,,,,,,
3200YNA00736,,"Osgodby Wadkin Arms",,53.794707,-1.027192,,,,,,
3200YNA00734,,"Osgodby Wadkin Arms",,53.794664,-1.027436,,,,,,
2200YEA11702,,"Pear Tree Farm",,53.836238,-0.785077,,,,,,
3200YNA00757,,"Playing Field",,53.766276,-0.973112,,,,,,
3200YNA00758,,"Playing Field",,53.766186,-0.973114,,,,,,
3200YNA00742,,"Post Office",,53.777335,-0.996925,,,,,,
3200YNA00741,,"Post Office",,53.777444,-0.997028,,,,,,
3200YNA00745,,Priestfields,,53.776253,-0.992246,,,,,,
3200YNA00746,,Priestfields,,53.776316,-0.992169,,,,,,
2200YEA01413,,"Primary School",,53.835604,-0.776722,,,,,,
2200YEA00668,,"Pullet Farm",,53.837162,-0.788531,,,,,,
3200YNA00730,,"Rhodes Terrace",,53.796958,-1.034336,,,,,,
3200YNA00714,,"River Street",,53.78675,-1.0618,,,,,,
3200YNA96572,,"Selby Bus Station",,53.782314,-1.065891,,,,,,
3200YNA00002,,"Selby Bus Station",,53.782098,-1.06582,,,,,,
3200YNA00787,,"Seven Houses",,53.823377,-0.969696,,,,,,
3200YNA00786,,"Seven Houses",,53.823393,-0.969574,,,,,,
3200YNA00749,,"Villa Close",,53.771166,-0.979562,,,,,,
3200YNA00750,,"Villa Close",,53.771183,-0.979441,,,,,,
3200YNA00784,,"Village Green",,53.825578,-0.965434,,,,,,
3200YNA00785,,"Village Green",,53.825624,-0.965554,,,,,,
2200YEA11808,,"Water End",,53.83507,-0.803103,,,,,,
3200YNA01161,,"Aberdeen Walk Stop J",,54.282813076,-0.403189911,,,,,,
3200YNA06551,,"Aquarium Top Stop Y",,54.278893077,-0.39904072,,,,,,
3200YNA01237,,"Evelyn Drive",,54.274181247,-0.425516508,,,,,,
3200YNA01224,,"Falsgrave Road",,54.276964234,-0.413599213,,,,,,
3200YNA01223,,"Falsgrave Road",,54.276791321,-0.413436906,,,,,,
3200YNA01234,,"Falsgrave, Catholic School",,54.273988915,-0.428687595,,,,,,
3200YNA01235,,"Falsgrave, Catholic School",,54.27379067,-0.428649063,,,,,,
3200YNA01241,,"Falsgrave, Evelyn Drive",,54.273737549,-0.423890122,,,,,,
3200YNA01238,,"Falsgrave, Evelyn Drive",,54.275384145,-0.426776127,,,,,,
3200YNA01236,,"Falsgrave, Montgomery Court",,54.272803177,-0.426674787,,,,,,
3200YNA01226,,"Falsgrave, Park Road Junction",,54.276604655,-0.419756639,,,,,,
3200YNA01230,,"Falsgrave, Raincliffe Avenue",,54.276802792,-0.426660648,,,,,,
3200YNA01231,,"Falsgrave, Raincliffe Avenue",,54.277015199,-0.42640681,,,,,,
3200YNA01243,,"Falsgrave, Row Brown Court",,54.271951283,-0.426139017,,,,,,
3200YNA01233,,"Falsgrave, Sandy Bed Lane End",,54.275919273,-0.429904286,,,,,,
3200YNA01232,,"Falsgrave, Sandy Bed Lane End",,54.275790101,-0.429648099,,,,,,
3200YNA01239,,"Falsgrave, Sandybed Crescent",,54.27591356,-0.42601874,,,,,,
3200YNA01240,,"Falsgrave, Sandybed Crescent",,54.275193686,-0.423204855,,,,,,
3200YNA01150,,"Foreshore Road",,54.283519889,-0.393469374,,,,,,
3200YNA00938,,"Harcourt Place Stop X",,54.281101388,-0.399051564,,,,,,
3200YNA01148,,"Newcastle Packet",,54.283876126,-0.391873247,,,,,,
3200YNA01149,,"Newcastle Packet",,54.284105606,-0.391557071,,,,,,
3200YNA01225,,"Park Road Junction",,54.276571629,-0.41943137,,,,,,
3200YNA01157,,"Queen Street",,54.283602801,-0.398351163,,,,,,
3200YNA01221,,"Railway Station",,54.280059197,-0.405646541,,,,,,
3200YNF10137,,"Scarborough, Castle Road",,54.285048027,-0.402273909,,,,,,
3200YNA01159,,"Scarborough, Castle Road Stop G",,54.285078182,-0.402060129,,,,,,
3200YNA06391,,"Scarborough, Castle Street Stop X",,54.285704328,-0.40025139,,,,,,
3200YNA01167,,"Scarborough, Victoria Street",,54.283305019,-0.405044995,,,,,,
